datetime,GISP2,EPICA Dome C CO2
-408504-07-15 14:10:11,,282.6
-407648-02-06 04:56:37,,274.7
-406869-08-14 19:18:53,,284.5
-405333-11-02 04:12:34,,285.6
-404593-07-15 19:54:57,,279.6
-403113-09-14 09:00:17,,280.5
-402363-01-12 07:29:17,,276.5
-400910-06-29 05:43:05,,275.7
-400191-05-31 03:50:06,,283.1
-398760-04-01 07:22:48,,283.2
-397976-03-02 23:19:38,,277.1
-396325-03-13 19:11:09,,276.3
-392956-03-23 17:23:06,,260.7
-392054-08-20 22:29:14,,273.6
-391027-03-04 15:55:44,,259.5
-390337-01-27 06:09:34,,258.1
-387460-02-10 16:08:00,,245.8
-385875-07-02 00:02:31,,246.8
-384334-08-10 09:45:40,,239.1
-382608-11-12 09:42:53,,240.0
-380982-10-29 14:38:50,,227.0
-376810-01-27 03:10:02,,229.6
-375085-06-07 09:53:21,,224.6
-373255-09-16 21:41:14,,214.7
-371508-09-07 17:16:53,,199.9
-369436-06-08 05:53:21,,201.9
-366116-05-27 09:18:49,,206.3
-363240-01-27 10:07:26,,201.2
-360618-09-12 13:40:15,,185.8
-358734-06-16 05:08:09,,186.1
-357061-12-01 10:10:30,,193.0
-353868-07-10 07:41:06,,209.2
-352463-04-24 21:48:26,,209.4
-351225-09-10 13:01:34,,216.2
-349727-12-09 16:00:36,,221.1
-347189-03-14 02:07:14,,220.3
-345595-06-23 10:06:17,,211.9
-344371-05-17 08:21:17,,204.8
-343051-06-07 23:09:39,,205.2
-341974-09-10 18:37:35,,200.7
-340842-09-21 21:39:26,,250.1
-338785-03-15 04:18:14,,234.2
-338034-05-23 11:11:57,,239.6
-337042-11-03 02:05:00,,241.9
-336264-10-11 14:28:13,,255.7
-335567-08-10 07:47:00,,270.5
-334918-06-16 17:23:58,,278.6
-334428-09-26 16:05:05,,285.8
-333758-10-07 21:36:56,,278.1
-333153-12-19 11:30:16,,298.6
-332594-05-22 00:40:18,,288.4
-332400-10-10 11:00:59,,289.1
-332048-09-18 19:09:46,,282.4
-331550-03-08 20:02:31,,273.1
-330849-08-28 06:43:34,,272.6
-330194-02-26 07:11:04,,271.7
-329344-09-21 08:33:11,,265.0
-328104-12-10 00:52:03,,275.1
-327465-12-25 09:51:38,,271.9
-326821-07-10 09:00:39,,270.1
-326137-06-18 02:59:50,,266.1
-325486-06-06 20:08:12,,264.0
-324641-03-07 04:28:29,,266.2
-323873-04-09 01:36:21,,260.5
-323058-11-09 22:50:37,,260.3
-322217-05-07 08:49:09,,260.4
-321434-12-01 04:43:55,,257.2
-319868-10-24 22:56:59,,249.2
-318967-12-04 08:29:43,,255.8
-317880-08-08 17:55:02,,233.4
-316903-08-30 06:56:34,,245.2
-315983-09-17 08:58:57,,251.6
-315200-05-23 03:19:19,,272.6
-314501-07-17 05:19:14,,246.8
-313708-09-27 08:00:37,,257.1
-312886-01-19 09:41:49,,256.7
-312102-05-29 18:36:07,,251.6
-311393-02-17 05:25:44,,241.9
-310644-10-29 07:15:47,,239.0
-309720-03-23 22:46:32,,237.8
-308826-02-26 21:47:08,,233.2
-308061-04-12 00:27:10,,226.2
-307474-07-11 12:00:08,,227.8
-306376-07-21 09:23:56,,225.8
-305514-12-25 05:18:25,,244.8
-304631-02-17 15:02:33,,248.6
-303828-02-07 03:43:23,,250.2
-303150-06-10 13:09:28,,240.7
-302151-05-01 07:52:35,,240.2
-301166-04-01 16:11:26,,236.0
-300134-01-22 05:27:56,,239.0
-299076-08-17 15:53:25,,236.1
-298166-05-18 18:03:30,,231.0
-297427-12-19 05:31:32,,224.4
-296755-08-16 19:19:52,,217.1
-294879-05-17 20:38:09,,213.1
-293414-01-05 04:39:08,,212.7
-292506-12-14 10:30:43,,206.7
-291701-07-03 01:10:36,,206.0
-290869-12-07 14:42:05,,207.6
-289613-05-16 06:41:11,,217.1
-288914-06-13 19:04:41,,220.4
-288235-09-27 04:02:07,,234.9
-286337-10-22 10:16:51,,231.0
-285870-03-10 02:02:27,,230.4
-285494-05-18 13:08:50,,231.4
-284660-04-11 00:25:00,,226.4
-283982-11-30 23:35:43,,228.0
-282485-07-23 01:37:14,,231.3
-280643-05-05 11:55:24,,223.7
-279451-06-28 23:37:05,,215.3
-278609-04-13 05:09:01,,211.0
-277669-03-08 08:34:25,,204.5
-276641-04-27 11:18:56,,202.2
-275493-03-25 15:27:12,,193.2
-274308-07-03 22:00:51,,198.4
-273205-08-03 06:45:55,,194.1
-272214-02-22 14:15:48,,193.9
-271216-05-24 14:51:43,,190.4
-270200-08-02 02:08:29,,184.7
-269086-03-08 19:14:34,,198.8
-267991-10-02 04:44:24,,194.2
-267046-09-21 02:50:02,,187.2
-266308-05-22 07:56:26,,188.7
-265057-03-22 05:31:43,,211.7
-264185-10-09 07:27:42,,199.9
-262634-06-16 17:40:01,,228.1
-260867-02-12 12:27:24,,214.6
-260105-08-21 00:00:38,,208.9
-259344-04-18 03:09:10,,205.7
-258945-12-23 03:12:03,,209.6
-257447-04-24 21:17:42,,203.9
-255958-02-21 10:19:21,,204.0
-255111-08-14 21:19:46,,201.9
-254349-07-20 21:03:13,,199.0
-252637-02-06 03:54:05,,195.4
-251807-07-12 05:48:02,,196.7
-251004-06-27 02:49:23,,195.4
-250183-12-12 23:22:54,,213.9
-249441-08-21 11:03:20,,200.2
-247150-05-02 18:22:10,,214.7
-244921-09-18 10:02:39,,219.4
-244239-05-23 17:17:38,,230.4
-243614-03-15 16:46:16,,236.7
-243107-03-10 20:11:16,,249.9
